"YEAR","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"A",-0.115712782003029,-7826.75849811203,6763953.26655198,9.67843305980683e-06,388657349.387201,39222609675.54,2668,15745
2017,"B",-0.245658329019014,-18430.1808278799,7502363.5068581,3.86788298614226e-05,339474305.843707,45096615879.2893,2016,15745
2017,"C",-0.597917067060243,-62353.9429785767,10428527.0338828,0.000161795284781963,457032087.652679,56318535381.3235,3048,15745
2017,"D",0.33360251779215,8516.46855639004,2552878.98087633,0.000371784243349631,155404964.636369,15488518919.4118,989,15745
2017,"E",0.708139526768404,30333.9522171729,4283612.34905244,0.000705213527436375,168173929.487143,23255622961.5366,1368,15745
2018,"A",-0.073825453157807,-4993.30169594224,6763658.71438502,5.73787393640812e-06,341928831.062755,33462479541.5959,3077,18125
2018,"B",-0.189279913293938,-14193.1227616759,7498483.33860713,1.97348134596423e-05,299161096.991548,39245999629.2681,2331,18125
2018,"C",-0.673674497225025,-69749.722954085,10353623.7814249,0.000178826568139728,396073758.025297,47829254613.4332,3490,18125
2018,"D",0.380833574815503,9664.91619392068,2537831.96468507,0.000390243739629343,131316170.458308,12881824650.4488,1140,18125
2018,"E",0.77598533767633,32845.9681152695,4232807.82773886,0.000732905318146556,138471452.017022,19929696300.1235,1552,18125
2019,"A",0.13588146947666,9070.41315283936,6675239.22708044,2.82066748810126e-05,300989994.824498,29242053254.7307,3450,20477
2019,"B",-0.301089971404446,-22466.3873011112,7461685.68694463,4.52438488325664e-05,262745587.85713,34160642577.5606,2630,20477
2019,"C",-0.70620942305529,-72559.6360589702,10274521.0825783,0.000175019497321053,357783397.946467,41889145763.3438,3906,20477
2019,"D",0.628925777121005,16241.3306721044,2582392.2731314,0.000812378567589077,118917283.500453,11549368739.887,1301,20477
2019,"E",0.696016135830234,29934.1266474406,4300780.55758493,0.000517957502141042,123970342.797517,17844216952.5135,1774,20477
