"YEAR","ew","sclass","AREA_TOTAL"
2002,"eastside","A",3277543.19897
2002,"eastside","B",12304974.129175
2002,"eastside","C",6110334.872275
2002,"eastside","D",725810.768345
2002,"eastside","E",5483591.958235
2002,"westside","A",2453008.84378
2002,"westside","B",9830247.079275
2002,"westside","C",1956739.516365
2002,"westside","D",534719.643755
2002,"westside","E",7334442.09846
2003,"eastside","A",3398682.64505
2003,"eastside","B",12223587.789345
2003,"eastside","C",6103975.04246
2003,"eastside","D",756678.52716
2003,"eastside","E",5419330.922985
2003,"westside","A",2441103.372245
2003,"westside","B",9854574.20114
2003,"westside","C",1932064.56872
2003,"westside","D",542005.303955
2003,"westside","E",7339409.735575
2004,"eastside","A",3403539.75185
2004,"eastside","B",12245034.228775
2004,"eastside","C",6096772.1132
2004,"eastside","D",754050.930235
2004,"eastside","E",5402857.90294
2004,"westside","A",2435650.691635
2004,"westside","B",9900690.02834
2004,"westside","C",1903267.52975
2004,"westside","D",546339.782505
2004,"westside","E",7323209.149405
2005,"eastside","A",3368876.155175
2005,"eastside","B",12294620.52995
2005,"eastside","C",6080564.187995
2005,"eastside","D",751551.210435
2005,"eastside","E",5406642.843445
2005,"westside","A",2408291.88113
2005,"westside","B",9979941.598565
2005,"westside","C",1866670.20855
2005,"westside","D",548690.052865
2005,"westside","E",7305563.440525
2006,"eastside","A",3368438.481815
2006,"eastside","B",12335466.262835
2006,"eastside","C",6050481.48353
2006,"eastside","D",752518.40629
2006,"eastside","E",5395350.29253
2006,"westside","A",2402103.07307
2006,"westside","B",10067427.788455
2006,"westside","C",1818208.336495
2006,"westside","D",546851.06861
2006,"westside","E",7274566.915005
2007,"eastside","A",3442010.750925
2007,"eastside","B",12345596.57748
2007,"eastside","C",5999244.78906
2007,"eastside","D",750322.47806
2007,"eastside","E",5365080.331475
2007,"westside","A",2392524.07563
2007,"westside","B",10150985.593065
2007,"westside","C",1777168.452775
2007,"westside","D",546074.91006
2007,"westside","E",7242404.150105
2008,"eastside","A",3404762.257165
2008,"eastside","B",12401182.650965
2008,"eastside","C",5960793.805535
2008,"eastside","D",748505.51091
2008,"eastside","E",5387010.702425
2008,"westside","A",2373441.25026
2008,"westside","B",10215861.328095
2008,"westside","C",1740723.694545
2008,"westside","D",548108.712335
2008,"westside","E",7231022.1964
2009,"eastside","A",3371981.234165
2009,"eastside","B",12465307.35808
2009,"eastside","C",5911849.78112
2009,"eastside","D",747867.23726
2009,"eastside","E",5405249.316375
2009,"westside","A",2312900.43857
2009,"westside","B",10301864.588125
2009,"westside","C",1698511.344385
2009,"westside","D",552025.088285
2009,"westside","E",7243855.72227
2010,"eastside","A",3333310.52438
2010,"eastside","B",12522300.302335
2010,"eastside","C",5865989.930565
2010,"eastside","D",745069.50816
2010,"eastside","E",5435584.66156
2010,"westside","A",2259276.11138
2010,"westside","B",10382925.786465
2010,"westside","C",1660043.90363
2010,"westside","D",562088.017245
2010,"westside","E",7244823.362915
2011,"eastside","A",3309187.78352
2011,"eastside","B",12563788.75677
2011,"eastside","C",5819537.397335
2011,"eastside","D",741032.59412
2011,"eastside","E",5468708.395255
2011,"westside","A",2200671.47056
2011,"westside","B",10437016.92076
2011,"westside","C",1630905.71073
2011,"westside","D",576529.458965
2011,"westside","E",7264033.62062
2012,"eastside","A",3306976.510035
2012,"eastside","B",12583286.348815
2012,"eastside","C",5776664.978815
2012,"eastside","D",738310.256925
2012,"eastside","E",5497016.83241
2012,"westside","A",2158052.359945
2012,"westside","B",10450654.62695
2012,"westside","C",1600596.83055
2012,"westside","D",600216.08323
2012,"westside","E",7299637.28096
2013,"eastside","A",3335180.199145
2013,"eastside","B",12571952.654825
2013,"eastside","C",5754635.1973
2013,"eastside","D",740509.07629
2013,"eastside","E",5499977.79944
2013,"westside","A",2139692.318325
2013,"westside","B",10456667.29817
2013,"westside","C",1568685.149605
2013,"westside","D",624187.373095
2013,"westside","E",7319925.04244
2014,"eastside","A",3357999.9277
2014,"eastside","B",12539127.37522
2014,"eastside","C",5747899.519935
2014,"eastside","D",748554.43781
2014,"eastside","E",5508673.666335
2014,"westside","A",2116561.68156
2014,"westside","B",10449902.04227
2014,"westside","C",1544220.365235
2014,"westside","D",652944.15857
2014,"westside","E",7345528.934
2015,"eastside","A",3399253.533015
2015,"eastside","B",12501407.84885
2015,"eastside","C",5742569.156575
2015,"eastside","D",753855.44503
2015,"eastside","E",5505168.94353
2015,"westside","A",2088580.609845
2015,"westside","B",10446623.49518
2015,"westside","C",1517997.99318
2015,"westside","D",685815.696335
2015,"westside","E",7370139.387095
2016,"eastside","A",3397730.34966
2016,"eastside","B",12491457.45176
2016,"eastside","C",5763702.68624
2016,"eastside","D",761639.047635
2016,"eastside","E",5487725.391705
2016,"westside","A",2025120.86378
2016,"westside","B",10473541.518795
2016,"westside","C",1502384.52981
2016,"westside","D",715729.158205
2016,"westside","E",7392381.111045
2017,"eastside","A",3528332.480595
2017,"eastside","B",12401859.621345
2017,"eastside","C",5765999.13701
2017,"eastside","D",766709.653635
2017,"eastside","E",5439354.034415
2017,"westside","A",2057530.04234
2017,"westside","B",10455500.391605
2017,"westside","C",1461790.103275
2017,"westside","D",741645.292345
2017,"westside","E",7392691.35207
